frame,houdini_frame,x,y,z,theta,phi,purity
1,1,1.000000,0.000000,0.000000,1.570796,0.000000,1.000000
2,2,0.987507,0.104670,-0.117789,1.688859,0.105600,1.000000
3,3,0.950817,0.203852,-0.233218,1.806182,0.211200,1.000000
4,4,0.892225,0.292508,-0.344056,1.922029,0.316799,1.000000
5,5,0.815312,0.366444,-0.448314,2.035674,0.422399,1.000000
6,6,0.724623,0.422623,-0.544345,2.146405,0.527999,1.000000
7,7,0.625262,0.459343,-0.630914,2.253527,0.633599,1.000000
8,8,0.522467,0.476292,-0.707230,2.356368,0.739198,1.000000
9,9,0.421206,0.474472,-0.772957,2.454285,0.844798,1.000000
10,10,0.325823,0.456009,-0.828188,2.546662,0.950398,1.000000
11,11,0.239787,0.423895,-0.873393,2.632922,1.055998,1.000000
12,12,0.165526,0.381678,-0.909353,2.712523,1.161597,1.000000
13,13,0.104370,0.333149,-0.937080,2.784966,1.267197,1.000000
14,14,0.056588,0.282052,-0.957729,2.849797,1.372797,1.000000
15,15,0.021483,0.231833,-0.972518,2.906610,1.478397,1.000000
16,16,-0.002448,0.185449,-0.982651,2.955047,1.583996,1.000000
17,17,-0.017335,0.145228,-0.989246,2.994807,1.689596,1.000000
18,18,-0.025744,0.112793,-0.993285,3.025639,1.795196,1.000000
19,19,-0.030493,0.089026,-0.995562,3.047350,1.900796,1.000000
20,20,-0.034473,0.074068,-0.996657,3.059804,2.006395,1.000000
21,21,-0.040486,0.067358,-0.996907,3.062923,2.111995,1.000000
22,22,-0.051106,0.067675,-0.996398,3.056687,2.217595,1.000000
23,23,-0.068536,0.073215,-0.994958,3.041136,2.323195,1.000000
24,24,-0.094490,0.081678,-0.992169,3.016367,2.428794,1.000000
25,25,-0.130076,0.090371,-0.987377,2.982535,2.534394,1.000000
26,26,-0.175692,0.096346,-0.979719,2.939852,2.639994,1.000000
27,27,-0.230944,0.096554,-0.968164,2.888586,2.745594,1.000000
28,28,-0.294597,0.088040,-0.951557,2.829059,2.851193,1.000000
29,29,-0.364559,0.068148,-0.928683,2.761643,2.956793,1.000000
30,30,-0.437934,0.034757,-0.898335,2.686761,3.062393,1.000000
31,31,-0.511133,-0.013497,-0.859396,2.604883,3.167993,1.000000
32,32,-0.580064,-0.077016,-0.810922,2.516522,3.273592,1.000000
33,33,-0.640393,-0.155086,-0.752227,2.422232,3.379192,1.000000
34,34,-0.687858,-0.245799,-0.682960,2.322604,3.484792,1.000000
35,35,-0.718626,-0.346072,-0.603167,2.218262,3.590392,1.000000
36,36,-0.729647,-0.451778,-0.513334,2.109862,3.695991,1.000000
37,37,-0.718968,-0.557993,-0.414401,1.998081,3.801591,1.000000
38,38,-0.685978,-0.659337,-0.307749,1.883622,3.907191,1.000000
39,39,-0.631531,-0.750391,-0.195146,1.767202,4.012791,1.000000
40,40,-0.557944,-0.826141,-0.078673,1.649551,4.118390,1.000000
41,41,-0.468849,-0.882400,0.039381,1.531405,4.223990,1.000000
42,42,-0.368908,-0.916172,0.156641,1.413507,4.329590,1.000000
43,43,-0.263439,-0.925894,0.270778,1.296595,4.435190,1.000000
44,44,-0.157976,-0.911551,0.379628,1.181402,4.540789,1.000000
45,45,-0.057810,-0.874643,0.481308,1.068650,4.646389,1.000000
46,46,0.032410,-0.818002,0.574301,0.959046,4.751989,1.000000
47,47,0.109015,-0.745511,0.657517,0.853278,4.857589,1.000000
48,48,0.169532,-0.661735,0.730319,0.752007,4.963188,1.000000
49,49,0.212778,-0.571526,0.792517,0.655871,5.068788,1.000000
50,50,0.238832,-0.479640,0.844337,0.565470,5.174388,1.000000
51,51,0.248910,-0.390395,0.886361,0.481371,5.279988,1.000000
52,52,0.245153,-0.307412,0.919455,0.404103,5.385587,1.000000
53,53,0.230371,-0.233432,0.944690,0.334149,5.491187,1.000000
54,54,0.207778,-0.170232,0.963249,0.271948,5.596787,1.000000
55,55,0.180724,-0.118611,0.976356,0.217891,5.702387,1.000000
56,56,0.152465,-0.078447,0.985191,0.172314,5.807986,1.000000
57,57,0.125969,-0.048801,0.990833,0.135506,5.913586,1.000000
58,58,0.103763,-0.028048,0.994206,0.107695,6.019186,1.000000
59,59,0.087827,-0.014029,0.996037,0.089058,6.124786,1.000000
60,60,0.079514,-0.004202,0.996825,0.079710,6.230385,1.000000
61,61,0.079514,0.004202,0.996825,0.079710,6.335985,1.000000
62,62,0.087827,0.014029,0.996037,0.089058,6.441585,1.000000
63,63,0.103763,0.028048,0.994206,0.107695,6.547185,1.000000
64,64,0.125969,0.048801,0.990833,0.135506,6.652784,1.000000
65,65,0.152465,0.078447,0.985191,0.172314,6.758384,1.000000
66,66,0.180724,0.118611,0.976356,0.217891,6.863984,1.000000
67,67,0.207778,0.170232,0.963249,0.271948,6.969584,1.000000
68,68,0.230371,0.233432,0.944690,0.334149,7.075183,1.000000
69,69,0.245153,0.307412,0.919455,0.404103,7.180783,1.000000
70,70,0.248910,0.390395,0.886361,0.481371,7.286383,1.000000
71,71,0.238832,0.479640,0.844337,0.565470,7.391983,1.000000
72,72,0.212778,0.571526,0.792517,0.655871,7.497582,1.000000
73,73,0.169532,0.661735,0.730319,0.752007,7.603182,1.000000
74,74,0.109015,0.745511,0.657517,0.853278,7.708782,1.000000
75,75,0.032410,0.818002,0.574301,0.959046,7.814382,1.000000
76,76,-0.057810,0.874643,0.481308,1.068650,7.919981,1.000000
77,77,-0.157976,0.911551,0.379628,1.181402,8.025581,1.000000
78,78,-0.263439,0.925894,0.270778,1.296595,8.131181,1.000000
79,79,-0.368908,0.916172,0.156641,1.413507,8.236781,1.000000
80,80,-0.468849,0.882400,0.039381,1.531405,8.342380,1.000000
81,81,-0.557944,0.826141,-0.078673,1.649551,8.447980,1.000000
82,82,-0.631531,0.750391,-0.195146,1.767202,8.553580,1.000000
83,83,-0.685978,0.659337,-0.307749,1.883622,8.659180,1.000000
84,84,-0.718968,0.557993,-0.414401,1.998081,8.764780,1.000000
85,85,-0.729647,0.451778,-0.513334,2.109862,8.870379,1.000000
86,86,-0.718626,0.346072,-0.603167,2.218262,8.975979,1.000000
87,87,-0.687858,0.245799,-0.682960,2.322604,9.081579,1.000000
88,88,-0.640393,0.155086,-0.752227,2.422232,9.187179,1.000000
89,89,-0.580064,0.077016,-0.810922,2.516522,9.292778,1.000000
90,90,-0.511133,0.013497,-0.859396,2.604883,9.398378,1.000000
91,91,-0.437934,-0.034757,-0.898335,2.686761,9.503978,1.000000
92,92,-0.364559,-0.068148,-0.928683,2.761643,9.609578,1.000000
93,93,-0.294597,-0.088040,-0.951557,2.829059,9.715177,1.000000
94,94,-0.230944,-0.096554,-0.968164,2.888586,9.820777,1.000000
95,95,-0.175692,-0.096346,-0.979719,2.939852,9.926377,1.000000
96,96,-0.130076,-0.090371,-0.987377,2.982535,10.031977,1.000000
97,97,-0.094490,-0.081678,-0.992169,3.016367,10.137576,1.000000
98,98,-0.068536,-0.073215,-0.994958,3.041136,10.243176,1.000000
99,99,-0.051106,-0.067675,-0.996398,3.056687,10.348776,1.000000
100,100,-0.040486,-0.067358,-0.996907,3.062923,10.454376,1.000000
101,101,-0.034473,-0.074068,-0.996657,3.059804,10.559975,1.000000
102,102,-0.030493,-0.089026,-0.995562,3.047350,10.665575,1.000000
103,103,-0.025744,-0.112793,-0.993285,3.025639,10.771175,1.000000
104,104,-0.017335,-0.145228,-0.989246,2.994807,10.876775,1.000000
105,105,-0.002448,-0.185449,-0.982651,2.955047,10.982374,1.000000
106,106,0.021483,-0.231833,-0.972518,2.906610,11.087974,1.000000
107,107,0.056588,-0.282052,-0.957729,2.849797,11.193574,1.000000
108,108,0.104370,-0.333149,-0.937080,2.784966,11.299174,1.000000
109,109,0.165526,-0.381678,-0.909353,2.712523,11.404773,1.000000
110,110,0.239787,-0.423895,-0.873393,2.632922,11.510373,1.000000
111,111,0.325823,-0.456009,-0.828188,2.546662,11.615973,1.000000
112,112,0.421206,-0.474472,-0.772957,2.454285,11.721573,1.000000
113,113,0.522467,-0.476292,-0.707230,2.356368,11.827172,1.000000
114,114,0.625262,-0.459343,-0.630914,2.253527,11.932772,1.000000
115,115,0.724623,-0.422623,-0.544345,2.146405,12.038372,1.000000
116,116,0.815312,-0.366444,-0.448314,2.035674,12.143972,1.000000
117,117,0.892225,-0.292508,-0.344056,1.922029,12.249571,1.000000
118,118,0.950817,-0.203852,-0.233218,1.806182,12.355171,1.000000
119,119,0.987507,-0.104670,-0.117789,1.688859,12.460771,1.000000
120,120,1.000000,-0.000000,-0.000000,1.570796,12.566371,1.000000
